349,310,350,532,531,556
242,267,239,254,252,270
169,185,169,279,277,291
132,145,132,370,370,378
135,151,136,409,408,418
121,128,121,451,450,456
146,167,145,473,472,481
141,160,141,529,529,538
132,145,131,564,563,569
121,126,121,512,512,516
177,194,178,208,208,214
210,238,210,458,457,468
170,191,170,595,594,604
143,158,142,582,581,589
133,147,133,574,573,579
124,135,124,556,555,561
144,161,145,497,496,505
137,151,137,450,450,454
131,144,131,504,504,509
138,151,138,416,417,423
125,135,125,490,490,494
160,176,160,736,735,743
128,140,127,524,523,529
321,324,321,798,795,808
