459,530,455,792,785,838
361,400,357,378,377,403
255,282,252,413,411,434
265,287,258,304,308,319
200,217,199,552,551,564
202,224,202,612,612,623
178,193,178,674,673,685
220,249,220,705,705,719
173,192,173,764,765,773
210,234,210,793,793,808
196,216,195,843,844,854
238,260,238,1101,1101,1114
185,203,185,832,830,841
198,221,198,857,858,870
211,237,211,871,869,884
253,287,254,892,886,908
184,200,184,731,730,741
195,215,196,753,752,763
218,243,217,744,742,757
203,226,202,671,672,682
206,228,205,623,622,634
315,356,315,682,681,704
